ident,type,name,elevation_ft,iso_region,municipality,gps_code,local_code,coordinates
11AZ,small_airport,Whetstone Airport,4250.0,US-AZ,Huachuca City,11AZ,11AZ,"-110.29000091552734, 31.683700561523438"
11CA,small_airport,Turner Field,300.0,US-CA,Fowler,11CA,11CA,"-119.72200012207031, 36.673301696777344"
11CL,small_airport,Hansen Airport,2885.0,US-CA,Adelanto,11CL,11CL,"-117.65299987792969, 34.630001068115234"
11CN,heliport,Shasta Regional Medical Center Heliport,622.0,US-CA,Redding,11CN,11CN,"-122.387976, 40.585116"
11CO,closed,Channel 7 Heliport,5300.0,US-CO,Denver,,,"-104.984, 39.7253"
11FA,small_airport,B & L Farms Airport,9.0,US-FL,Homestead,11FA,11FA,"-80.49980163574219, 25.58370018005371"
11FD,heliport,North Okaloosa Medical Center Heliport,230.0,US-FL,Crestview,11FD,11FD,"-86.56269836425781, 30.735700607299805"
11FL,small_airport,Williams Field,88.0,US-FL,Middleburg,11FL,11FL,"-81.88089752197266, 30.042999267578125"
11G,closed,Johnson Field,630.0,US-MI,Smiths Creek,,,"-82.585501, 42.921101"
11GA,closed,De Kalb General Hospital Heliport,1012.0,US-GA,Decatur,,,"-84.282204, 33.7897"
11GE,heliport,Apple 1 Heliport,1273.0,US-GA,Cumming,11GE,11GE,"-84.06639862060547, 34.26029968261719"
11ID,closed,Riddle Airport,5356.0,US-ID,Riddle,,,"-116.112999, 42.185504"
11II,small_airport,Atterbury Field (Camp Atterbury),710.0,US-IN,Nineveh,11II,11II,"-86.0305023193, 39.3417015076"
11IL,heliport,Presence St Mary's Hospital - Kankakee Heliport,610.0,US-IL,Kankakee,11IL,11IL,"-87.873075, 41.120718"
11IN,small_airport,Jr's Airport,950.0,US-IN,Danville,11IN,11IN,"-86.53810119628906, 39.81890106201172"
11IS,heliport,St Anthony Memorial Hospital Heliport,593.0,US-IL,Effingham,11IS,11IS,"-88.55059814453125, 39.125"
11KS,closed,Sheller's Airport,1090.0,US-KS,Tonganoxie,,,"-95.148904, 39.116695"
11KY,heliport,Southwest Hospital Heliport,500.0,US-KY,Louisville,11KY,11KY,"-85.83609771728516, 38.11589813232422"
11LA,seaplane_base,Tiger Pass Seaplane Base,,US-LA,Venice,11LA,11LA,"-89.35299682617188, 29.258800506591797"
11LL,small_airport,Thacker Airport,720.0,US-IL,Chenoa,11LL,11LL,"-88.769108, 40.722514"
11LS,small_airport,Jasmine Hill Airport,120.0,US-LA,Glenmora,11LS,11LS,"-92.56900024414062, 30.97599983215332"
11M,small_airport,Fulton-Itawamba County Airport,450.0,US-MS,Fulton,11M,11M,"-88.3772964477539, 34.35200119018555"
11MA,small_airport,Bulljump Airport,60.0,US-MA,Wareham,11MA,11MA,"-70.7583999633789, 41.80730056762695"
11MD,small_airport,Tim's Airport,42.0,US-MD,Salisbury,11MD,11MD,"-75.62779998779297, 38.43330001831055"
11MI,heliport,Wagner's Landing Heliport,975.0,US-MI,Clarkston,11MI,11MI,"-83.4374008178711, 42.738399505615234"
11MN,closed,Sixberry's Landing Seaplane Base,1372.0,US-MN,Chisholm,,,"-93.048203, 47.6777"
11MO,small_airport,Redgate Ranch Airport,820.0,US-MO,Williamsburg,11MO,11MO,"-91.63520050048828, 38.90169906616211"
11MT,small_airport,Lammers Airport,4098.0,US-MT,Shawmut,11MT,11MT,"-109.490555, 46.462777"
11MU,small_airport,Rocky Top Airfield,1273.0,US-MO,Gainesville,11MU,11MU,"-92.465578, 36.657916"
11N,small_airport,Candlelight Farms Airport,675.0,US-CT,New Milford,11N,11N,"-73.46620178222656, 41.56679916381836"
11NC,heliport,Sprint/Midatlantic Telecom Heliport,427.0,US-NC,Youngsville,11NC,11NC,"-78.5188980102539, 36.02149963378906"
11NE,small_airport,Kaan Airport,4650.0,US-NE,Harrison,11NE,11NE,"-103.91600036621094, 42.442501068115234"
11NJ,heliport,Southdown Heliport,128.0,US-NJ,Pluckemin,11NJ,11NJ,"-74.66419982910156, 40.64070129394531"
11NK,small_airport,Hop House Airpark,530.0,US-NY,Fort Plain,11NK,11NK,"-74.61170196533203, 42.91389846801758"
11NR,heliport,Dosher Heliport,19.0,US-NC,Southport,11NR,11NR,"-78.0203889, 33.9280833"
11NY,small_airport,Saikkonen Airport,969.0,US-NY,Spencer,11NY,11NY,"-76.44969940185547, 42.20899963378906"
11OA,small_airport,Hide-A-Way Hills Resort Airport,780.0,US-OH,Bremen,11OA,11OA,"-82.466796875, 39.64310073852539"
11OG,small_airport,Unity Airport,3975.0,US-OR,Unity,11OG,11OG,"-118.18699645996094, 44.45130157470703"
11OH,heliport,Fayette County Memorial Hospital Heliport,977.0,US-OH,Washington Court House,11OH,11OH,"-83.4279139, 39.5477528"
11OK,small_airport,Beefor Ranch Airport,1150.0,US-OK,Purcell,11OK,11OK,"-97.38359832763672, 35.07229995727539"
11OR,small_airport,Holiday Sky Ranch Airport,510.0,US-OR,Sutherlin,11OR,11OR,"-123.28500366210938, 43.39350128173828"
11PA,heliport,Sherrie John Manor Heliport,400.0,US-PA,Mechanicsburg,11PA,11PA,"-77.0457992553711, 40.26259994506836"
11PN,small_airport,Eakin Airport,1489.0,US-PA,Cranberry,11PN,11PN,"-79.732778, 41.3525"
11S,small_airport,Sekiu Airport,355.0,US-WA,Sekiu,11S,11S,"-124.31400299072266, 48.2661018371582"
11TA,heliport,Conoco Heliport,91.0,US-TX,Houston,11TA,11TA,"-95.61109924316406, 29.789400100708008"
11TE,small_airport,Flying M Ranch Airport,700.0,US-TX,Grandview,11TE,11TE,"-97.20449829101562, 32.30009841918945"
11TN,small_airport,Salem Field,425.0,US-TN,Clarksville,11TN,11TN,"-87.36669921875, 36.474998474121094"
11TS,small_airport,Pt Enterprise D&W Ranch Airport,526.0,US-TX,Mexia,11TS,11TS,"-96.4113998413086, 31.657899856567383"
11TX,small_airport,Butler Airport,840.0,US-TX,Sherman,11TX,11TX,"-96.69059753417969, 33.66680145263672"
11UT,small_airport,Flying R Airport,5060.0,US-UT,Huntsville,11UT,11UT,"-111.7110611, 41.2538528"
11VA,heliport,Chesapeake General Hospital Heliport,21.0,US-VA,Chesapeake,11VA,11VA,"-76.24410247802734, 36.741798400878906"
11VG,small_airport,Devil's Reach Landing Airport,28.0,US-VA,Oak Grove,11VG,11VG,"-77.00060272216797, 38.20940017700195"
11WA,small_airport,Homeport Airport,2320.0,US-WA,Spokane,11WA,11WA,"-117.47000122070312, 47.523799896240234"
11WI,closed,Victory Memorial Hospital Heliport,1140.0,US-WI,Stanley,,,"-90.933801, 44.963299"
11WN,seaplane_base,Diedrich Seaplane Base,774.0,US-WI,Lodi,11WN,11WN,"-89.57119750976562, 43.35419845581055"
11XS,heliport,Speed Shore Company Headquarters Heliport,64.0,US-TX,Pearland,11XS,11XS,"-95.369421, 29.597045"
11Y,small_airport,Flying Feathers Airport,940.0,US-WI,Chilton,11Y,11Y,"-88.194933, 44.061183"
12A,small_airport,Arkavalley Airport,329.0,US-AR,Conway,12A,12A,"-92.33540344, 35.17839813"
12AL,heliport,Goldberg Stagefield Army Heliport,362.0,US-AL,Fort Rucker/Kirklands Crossroads,12AL,12AL,"-85.45980072021484, 31.413999557495117"
12AR,small_airport,Gibbons Airport,178.0,US-AR,Marvell,12AR,12AR,"-90.973722, 34.515444"
12AZ,small_airport,Ranta Strip,1840.0,US-AZ,Morristown,12AZ,12AZ,"-112.653001, 33.853901"
12CA,small_airport,Faber Vineyards Airport,70.0,US-CA,Lodi,12CA,12CA,"-121.16899871826172, 38.10960006713867"
12CL,small_airport,Newton Field,194.0,US-CA,Stratford,12CL,12CL,"-119.8499984741211, 36.156898498535156"
12CN,small_airport,Richter Airport,57.0,US-CA,Maxwell,12CN,12CN,"-122.116689, 39.268306"
12CO,small_airport,Omega 1 STOLport,6409.0,US-CO,Hotchkiss,12CO,12CO,"-107.81500244140625, 38.83549880981445"
12FA,closed,Hi-Acres Airport,105.0,US-FL,Clermont,,,"-81.7145, 28.4786"
12FD,heliport,Osceola Regional Hospital Heliport,59.0,US-FL,Kissimmee,12FD,12FD,"-81.41089630126953, 28.298599243164062"
12FL,seaplane_base,Timberlachen Seaplane Base,89.0,US-FL,Orlando,12FL,12FL,"-81.40390014648438, 28.59280014038086"
12GA,heliport,Gwinnett Community Hospital D/B/A Eastside Medical Center Heliport,1065.0,US-GA,Snellville,12GA,12GA,"-84.0205993652, 33.875"
12GE,seaplane_base,Harvest Lake Seaplane Base,4.0,US-GA,Riceboro,12GE,12GE,"-81.35970306396484, 31.73080062866211"
12I,seaplane_base,Brookville Reservoir Seaplane Base,748.0,US-IN,Brookville,12I,12I,"-85, 39.51029968261719"
12IA,small_airport,Plueger Airfield,1245.0,US-IA,Lemars,12IA,12IA,"-96.13780212402344, 42.800498962402344"
12ID,small_airport,Flying B Ranch Landing Strip,3647.0,US-ID,Salmon,12ID,12ID,"-114.73300170898438, 44.96799850463867"
12II,small_airport,Pentecost Airport,1020.0,US-IN,Centerville,12II,12II,"-84.97219848632812, 39.856201171875"
12IL,small_airport,Hawker Airport,620.0,US-IL,Kankakee,12IL,12IL,"-88.0167007446289, 41.20000076293945"
12IN,small_airport,J & S Field,465.0,US-IN,Darmstadt,12IN,12IN,"-87.64749908447266, 38.11859893798828"
12IS,heliport,Mercer County Hospital Heliport,729.0,US-IL,Aledo,12IS,12IS,"-90.75990295410156, 41.20589828491211"
12JY,balloonport,Clinton Elks Lodge Balloonport,37.0,US-NJ,Pittstown,12JY,12JY,"-74.9207992553711, 40.60419845581055"
12KS,small_airport,Sooter Airport,1420.0,US-KS,Sedgwick,12KS,12KS,"-97.48780059814453, 37.935298919677734"
12KY,small_airport,John M. Foree Airport,853.0,US-KY,New Castle,12KY,12KY,"-85.1686019897461, 38.46030044555664"
12LA,small_airport,Kml Airport,20.0,US-LA,Sulphur,12LA,12LA,"-93.3573989868164, 30.27589988708496"
12LL,small_airport,Lambdins Field,350.0,US-IL,Wolf Lake,12LL,12LL,"-89.48619842529297, 37.54029846191406"
12LS,small_airport,Hains Airstrip,20.0,US-LA,Rayne,12LS,12LS,"-92.28500366210938, 30.178600311279297"
12MA,heliport,Mellen Street Heliport,275.0,US-MA,Holliston,12MA,12MA,"-71.44270324707031, 42.20709991455078"
12MD,heliport,St. Agnes Health Care Heliport,141.0,US-MD,Baltimore,12MD,12MD,"-76.67310333251953, 39.27080154418945"
12ME,small_airport,Ridgeview Airport,240.0,US-ME,Searsmont,12ME,12ME,"-69.2072982788086, 44.32229995727539"
12MI,small_airport,John's Airport,820.0,US-MI,Davison,12MI,12MI,"-83.49189758300781, 43.051700592041016"
12MN,closed,Eastman Seaplane Base,1200.0,US-MN,Lake Hubert,,,"-94.281097, 46.480499"
12MO,small_airport,Ferguson Farms Airport,990.0,US-MO,Windsor,12MO,12MO,"-93.5947036743164, 38.58060073852539"
12MS,small_airport,Green Acres Airport,300.0,US-MS,Woodville,12MS,12MS,"-91.31900024414062, 31.09309959411621"
12MT,small_airport,Lincolns Field,2931.0,US-MT,Hingham,12MT,12MT,"-110.44200134277344, 48.774200439453125"
12NC,small_airport,Atlantic Field Mcolf Airport,20.0,US-NC,Atlantic,12NC,12NC,"-76.34999847410002, 34.8833007812"
12ND,small_airport,Pietschtree Airstrip,1566.0,US-ND,Burlington,12ND,12ND,"-101.427001953125, 48.2952995300293"
12NE,small_airport,Reisig Brothers Airport,3985.0,US-NE,Scottsbluff,12NE,12NE,"-103.69999694824219, 41.90660095214844"
12NH,small_airport,Gile Pond Airport,485.0,US-NH,Sanbornton,12NH,12NH,"-71.654444, 43.495278"
12NJ,heliport,Penske 2 Heliport,62.0,US-NJ,Lodi,12NJ,12NJ,"-74.06849670410001, 40.8839988708"
12NK,small_airport,Westport Airport,276.0,US-NY,Westport,12NK,12NK,"-73.43289947509766, 44.15840148925781"
12NM,closed,Columbus Stockyards Airport,4017.0,US-NM,Columbus,,,"-107.638001, 31.7918"
12NY,closed,TGP-245 Heliport,1440.0,US-NY,West Winfield,,,"-75.170998, 42.873402"
12OA,heliport,Defiance Regional Medical Center Heliport,709.0,US-OH,Defiance,12OA,12OA,"-84.377667, 41.298"
12OH,small_airport,Mcgregor Airfield,940.0,US-OH,Brookville,12OH,12OH,"-84.33470153808594, 39.834800720214844"
12OK,closed,Expressway Airpark,1070.0,US-OK,Oklahoma City,,,"-97.453102, 35.541302"
12OR,small_airport,Skinner Ranch Airport,4273.0,US-OR,Jordan Valley,12OR,12OR,"-117.28199768066406, 42.95130157470703"
12PA,heliport,Helicopter Applicators Inc Heliport,612.0,US-PA,Gettysburg,12PA,12PA,"-77.184167, 39.8495"
12PN,heliport,WCAU Heliport,230.0,US-PA,Philadelphia,12PN,12PN,"-75.216197, 40.007112"
12PS,heliport,Siple Heliport,419.0,US-PA,Lewisville,12PS,12PS,"-75.88140106201172, 39.72380065917969"
12S,small_airport,Monument Municipal Airport,2323.0,US-OR,Monument,12S,12S,"-119.43000030517578, 44.8317985534668"
12SC,small_airport,Over the Hill Airport,250.0,US-SC,Elgin,12SC,12SC,"-80.74669647216797, 34.14139938354492"
12T,heliport,Ferris Red Oak Municipal Heliport,510.0,US-TX,Ferris/Red Oak,12T,12T,"-96.72789764404297, 32.52920150756836"
12TA,heliport,Channel Two Heliport,72.0,US-TX,Houston,12TA,12TA,"-95.52770233154297, 29.690200805664062"
12TE,small_airport,Curtis Ranch Field,1740.0,US-TX,Brady,12TE,12TE,"-99.23370361328125, 31.31679916381836"
12TN,small_airport,Riley Creek Airport,750.0,US-TN,Kingston,12TN,12TN,"-84.53880310058594, 35.823699951171875"
12TS,small_airport,Blo Airport,1050.0,US-TX,Mineral Wells,12TS,12TS,"-97.97730255126953, 32.90850067138672"
12TX,small_airport,Griffin Airport,1235.0,US-TX,Bertram,12TX,12TX,"-98.08059692382812, 30.821399688720703"
12VA,small_airport,Hop-Along Airport,1060.0,US-VA,Clifton Forge,12VA,12VA,"-79.7677993774414, 37.78810119628906"
12WA,small_airport,Fowlers Nw 40 Airport,2313.0,US-WA,Spokane,12WA,12WA,"-117.46299743652344, 47.52069854736328"
12WI,heliport,Memorial Hospital of Taylor County Heliport,1435.0,US-WI,Medford,12WI,12WI,"-90.3563003540039, 45.13589859008789"
12WT,small_airport,Walker Airport,2450.0,US-WA,Palouse,12WT,12WT,"-117.218667, 46.911"
12WV,small_airport,Crazy Horse Airport,603.0,US-WV,Hamlin,12WV,12WV,"-82.115, 38.3421667"
12WY,small_airport,Black Diamond Airport,4400.0,US-WY,Burlington,12WY,12WY,"-108.384667, 44.45"
12XA,small_airport,Wood Farm Airfield,2950.0,US-TX,Gardendale,12XA,12XA,"-102.3485833, 32.0393333"
12XS,small_airport,Mc Croskey Field,253.0,US-AR,Butlerville,12XS,12XS,"-91.83719635010002, 34.95470047"
13AK,small_airport,Satterbergs Airport,350.0,US-AK,Houston,13AK,13AK,"-149.89999389648438, 61.654701232910156"
13AL,heliport,Hatch Stagefield Army Heliport,225.0,US-AL,Fort Rucker/Ozark,13AL,13AL,"-85.62049865722656, 31.358999252319336"
13AR,heliport,Jrmc Heliport,227.0,US-AR,Pine Bluff,13AR,13AR,"-92.01789855957031, 34.187599182128906"
13AZ,small_airport,Waltenberry Field Ultralightport,1213.0,US-AZ,Tonopah,13AZ,13AZ,"-112.853472222, 33.535"
13CA,heliport,M H 15 Heaps Peak US Forest Service Heliport,6266.0,US-CA,Lake Arrowhead,13CA,13CA,"-117.154998779, 34.2352981567"
13CL,small_airport,Maine Prairie Airport,40.0,US-CA,Dixon,13CL,13CL,"-121.8239974975586, 38.38130187988281"
13CO,heliport,Mann Heliport,7500.0,US-CO,Steamboat Springs,13CO,13CO,"-106.84400177001953, 40.555599212646484"
13D,heliport,Ponderosa Heliport,1017.0,US-MI,Highland,13D,13D,"-83.683065176, 42.629120027899994"
13FA,small_airport,Earle Airpark,25.0,US-FL,Hastings,13FA,13FA,"-81.51370239257812, 29.694400787353516"
13FD,heliport,Yelvington Heliport,110.0,US-FL,Orlando,13FD,13FD,"-81.38310241699219, 28.518600463867188"
13FL,heliport,Gator Lake Heliport,110.0,US-FL,Zephyrhills,13FL,13FL,"-82.32060241699219, 28.27669906616211"
13GA,small_airport,Oak Ridge Plantation Airport,350.0,US-GA,Sylvester,13GA,13GA,"-83.75489807128906, 31.366600036621094"
13GE,small_airport,Holt Airpark,280.0,US-GA,Oak Park,13GE,13GE,"-82.31809997558594, 32.360801696777344"
13IA,small_airport,Hillside Stables Airport,760.0,US-IA,Sabula,13IA,13IA,"-90.19110107421875, 42.04570007324219"
13ID,small_airport,Silva Ranch Airport,6400.0,US-ID,Stanley,13ID,13ID,"-115.0009994506836, 44.2666015625"
13II,heliport,St Joseph Medical Center Heliport,845.0,US-IN,Fort Wayne,13II,13II,"-85.14969635009766, 41.07870101928711"
13IN,small_airport,Gage Airport,814.0,US-IN,Decatur,13IN,13IN,"-84.92769622802734, 40.81529998779297"
13JY,heliport,Hess Port Reading Heliport,70.0,US-NJ,Port Reading,13JY,13JY,"-74.24530029296875, 40.64440155029297"
13KS,small_airport,Daniel's Landing Airport,1325.0,US-KS,Andover,13KS,13KS,"-97.11029815673828, 37.69779968261719"
13KY,small_airport,Miles Airport,407.0,US-KY,Owensboro,13KY,13KY,"-87.15609741210938, 37.70560073852539"
13LA,heliport,Evergreen Heliport,10.0,US-LA,Cameron,13LA,13LA,"-93.20850372314453, 29.783599853515625"
13LL,heliport,Henry Valve Company Heliport,640.0,US-IL,Melrose Park,13LL,13LL,"-87.87408247590001, 41.908889035799994"
13LS,small_airport,Tee Brad's Airport,12.0,US-LA,Kaplan,13LS,13LS,"-92.3855972290039, 29.993900299072266"
13M,balloonport,Aeronut Park Balloonport,980.0,US-MI,Howell,13M,13M,"-83.85859680175781, 42.60419845581055"
13MA,small_airport,Metropolitan Airport,418.0,US-MA,Palmer,13MA,13MA,"-72.31140136719999, 42.223300933800004"
13ME,small_airport,Socatean Bay Airport,1179.0,US-ME,Rockwood,13ME,13ME,"-69.8093032836914, 45.77640151977539"
13MI,heliport,Lee Memorial Hospital Heliport,748.0,US-MI,Dowagiac,13MI,13MI,"-86.11579895019531, 41.983699798583984"
13MN,small_airport,Melby Airport,1250.0,US-MN,Ashby,13MN,13MN,"-95.8313980102539, 46.100799560546875"
13MO,small_airport,Domeyer Airport,1260.0,US-MO,Lenox,13MO,13MO,"-91.70649719238281, 37.67639923095703"
13MS,small_airport,Greener Pastures Airpark,180.0,US-MS,Carriere,13MS,13MS,"-89.66390228271484, 30.63330078125"
13MT,small_airport,Sorenson Airport,2873.0,US-MT,Kremlin,13MT,13MT,"-110.11299896240234, 48.52080154418945"
13N,small_airport,Trinca Airport,600.0,US-NJ,Andover,13N,13N,"-74.78019714355469, 40.966800689697266"
13NC,small_airport,Oak Grove Mcolf Airport,27.0,US-NC,Pollocksville,13NC,13NC,"-77.24970245361328, 35.03350067138672"
13NE,small_airport,Hock Airport,2777.0,US-NE,Culbertson,13NE,13NE,"-100.80899810791016, 40.31669998168945"
13NJ,heliport,Wyeth-Ayerst Research Heliport,117.0,US-NJ,Princeton,13NJ,13NJ,"-74.58290100097656, 40.3651008605957"
13NK,heliport,Quaker Valley Farm Heliport,1100.0,US-NY,Pawling,13NK,13NK,"-73.53150177001953, 41.59749984741211"
13NM,small_airport,Beaverhead Airstrip,7378.0,US-NM,Silver City,13NM,13NM,"-108.13899993896484, 33.419498443603516"
13NY,heliport,Health Sciences Center University Hospital Heliport,190.0,US-NY,Stony Brook,13NY,13NY,"-73.11620330810547, 40.90760040283203"
13OH,closed,Rose Field,728.0,US-OH,Jewell,,,"-84.298301, 41.330299"
13OI,heliport,Union Hospital Heliport,926.0,US-OH,Dover,13OI,13OI,"-81.45480346679688, 40.515098571777344"
13OK,heliport,Mc Alester Regional Hospital Heliport,705.0,US-OK,Mc Alester,13OK,13OK,"-95.7489013672, 34.9361991882"
13OR,small_airport,Aubrey Mountain Airstrip,1680.0,US-OR,Oakridge,13OR,13OR,"-122.4260025024414, 43.740699768066406"
13PA,small_airport,Rigrtona Airport,1703.0,US-PA,Tidioute,13PA,13PA,"-79.4520034790039, 41.68259811401367"
13PN,small_airport,Richland Acres Ultralightport,550.0,US-PA,Quakertown,13PN,13PN,"-75.30460357666016, 40.45429992675781"
13PS,heliport,St. Luke's/Pennstar Flight Center Heliport,488.0,US-PA,Nazareth,13PS,13PS,"-75.33390045166016, 40.739200592041016"
13Q,small_airport,Jewett Mesa Airport,7681.0,US-NM,Apache Creek,13Q,13Q,"-108.6780014038086, 34.00339889526367"
13S,seaplane_base,Lake Louise Seaplane Base,2362.0,US-AK,Lake Louise,13S,13S,"-146.5189971923828, 62.282901763916016"
13SC,heliport,Grassy Pond Heliport,840.0,US-SC,Gaffney,13SC,13SC,"-81.69640350341797, 35.139198303222656"
13TA,closed,KBMT-TV Heliport,32.0,US-TX,Beaumont,,,"-94.133797, 30.073298"
13TE,small_airport,Varisco Airport,240.0,US-TX,Bryan,13TE,13TE,"-96.53829956054688, 30.6560001373291"
13TN,heliport,Bear Mountain Heliport,930.0,US-TN,Vonore,13TN,13TN,"-84.26750183105469, 35.59830093383789"
13TS,small_airport,Van Es Ranch Airport,830.0,US-TX,Oilton,13TS,13TS,"-98.92639923095703, 27.455299377441406"
13TX,small_airport,Allison Ranch Airport,2350.0,US-TX,Sonora,13TX,13TX,"-100.45099639892578, 30.531299591064453"
13VA,heliport,7th Division State Police Headquarters Heliport,395.0,US-VA,Fairfax,13VA,13VA,"-77.28410339355469, 38.82509994506836"
13VG,heliport,May Heliport,1430.0,US-VA,Salem,13VG,13VG,"-80.10009765625, 37.307899475097656"
13W,small_airport,Camano Island Airfield,145.0,US-WA,Stanwood,13W,13W,"-122.43699645996094, 48.25699996948242"
13WA,closed,Fsa - Everett Heliport,500.0,US-WA,Everett,,,"-122.25, 47.9365"
13WI,small_airport,Nowatzski Field,920.0,US-WI,Markesan,13WI,13WI,"-88.99960327148438, 43.6963996887207"
13XS,heliport,Presbyterian Hospital Of Rockwall Heliport,532.0,US-TX,Rockwall,13XS,13XS,"-96.464444, 32.884444"
13Y,small_airport,Littlefork Muni/Hanover Airport,1145.0,US-MN,Littlefork,13Y,13Y,"-93.58630371, 48.41659927"
13Z,seaplane_base,Loring Seaplane Base,0.0,US-AK,Loring,13Z,13Z,"-131.636993408, 55.6012992859"
14AK,small_airport,Four Corners Airport,300.0,US-AK,Palmer,14AK,14AK,"-149.2480010986328, 61.60150146484375"
14AL,heliport,Highbluff Stagefield Army Heliport,270.0,US-AL,Fort Rucker/Hartford,14AL,14AL,"-85.73370361328125, 31.153499603271484"
14AR,small_airport,Rice-Bell Field Airport,221.0,US-AR,Forrest City,14AR,14AR,"-90.6750030518, 35.0527992249"
14AZ,small_airport,Ruby Star Airpark,4025.0,US-AZ,Green Valley,14AZ,14AZ,"-111.12200164794922, 31.908300399780273"
14CA,heliport,Hoag Memorial Hospital Heliport,94.0,US-CA,Newport Beach,14CA,14CA,"-117.930799, 33.625182"
14CL,heliport,Foothill Presbyterian Hospital Heliport,730.0,US-CA,Glendora,14CL,14CL,"-117.870677, 34.133487"
14CO,small_airport,Good Pasture Airport,6000.0,US-CO,Beulah,14CO,14CO,"-104.91000366210938, 38.097198486328125"
14CT,heliport,Mashantucket Pequot Tribal Nation Heliport,124.0,US-CT,Mashantucket,14CT,14CT,"-71.9729, 41.484699"
14FA,small_airport,Burrs Strip,10.0,US-FL,Miami,14FA,14FA,"-80.3998031616211, 25.570100784301758"
14FD,small_airport,Sunshine Farms Airport,23.0,US-FL,St Augustine,14FD,14FD,"-81.49040222167969, 29.949100494384766"
14FL,small_airport,Wells Flying Service Airport,240.0,US-FL,Jay,14FL,14FL,"-87.17769622802734, 30.86549949645996"
14GA,heliport,Latham Creek Heliport,1120.0,US-GA,Gainesville,14GA,14GA,"-83.94349670410156, 34.33649826049805"
14GE,heliport,Stakely Heliport,1940.0,US-GA,Trenton,14GE,14GE,"-85.45369720458984, 34.785499572753906"
14I,small_airport,Bloom Airport,1050.0,US-OH,Jamestown,14I,14I,"-83.7499008178711, 39.633399963378906"
14ID,small_airport,Peaceful Cove Airport,2920.0,US-ID,Boise,14ID,14ID,"-116.2030029296875, 43.680999755859375"
14IL,closed,Kewanee Hospital Heliport,838.0,US-IL,Kewanee,,,"-89.9309, 41.235298"
14IN,closed,De Motte Airport,655.0,US-IN,De Motte,,,"-87.212502, 41.207"
14IS,heliport,Marshall Browning Hospital Heliport,454.0,US-IL,Du Quoin,14IS,14IS,"-89.237025, 38.025239"
14KS,small_airport,G & S Space Port Airport,940.0,US-KS,Parker,14KS,14KS,"-94.90480041503906, 38.26919937133789"
14KY,small_airport,Blue Haven Farm Airport,985.0,US-KY,Paris,14KY,14KY,"-84.36830139160156, 38.17369842529297"
14L,heliport,Devonshire Area Heliport,1012.0,US-CA,Los Angeles,14L,14L,"-118.53099822998047, 34.256900787353516"
14LA,small_airport,Killarny Farm Airport,53.0,US-LA,St Francisville,14LA,14LA,"-91.5082015991, 30.8409996033"
14LL,heliport,Gottlieb Heliport,688.0,US-IL,Melrose Park,14LL,14LL,"-87.843619287, 41.91138164349999"
14LS,heliport,Go Gulf Heliport,50.0,US-LA,Baton Rouge,14LS,14LS,"-91.04769897460938, 30.47330093383789"
14MA,closed,Vergnani Heliport,180.0,US-MA,Agawam,,,"-72.6493, 42.049801"
14ME,small_airport,Ring Hill Airport,340.0,US-ME,Carmel,14ME,14ME,"-69.07029724121094, 44.792598724365234"
14MI,small_airport,East-West Paris Airport,750.0,US-MI,Dutton,14MI,14MI,"-85.56700134277344, 42.85089874267578"
14MN,heliport,Riverwood Healthcare Center Heliport,1224.0,US-MN,Aitkin,14MN,14MN,"-93.69920349121094, 46.52920150756836"
14MO,closed,Stevinson Farm Airport,900.0,US-MO,Blue Springs,,,"-94.316902, 39.049999"
14MS,small_airport,Rose Field,400.0,US-MS,Hickory,14MS,14MS,"-89.0342025756836, 32.345298767089844"
14MT,small_airport,Holland Ranch Airport,4050.0,US-MT,Lewistown,14MT,14MT,"-109.07499694824219, 47.05160140991211"
14N,small_airport,Beltzville Airport,899.0,US-PA,Lehighton,14N,14N,"-75.635498046875, 40.84429931640625"
14NC,small_airport,Camp Davis Mcolf Airport,60.0,US-NC,Holly Ridge,14NC,14NC,"-77.55000305175781, 34.516700744628906"
14ND,small_airport,Hagen Private Airport,2810.0,US-ND,Reeder,14ND,14ND,"-102.90799713134766, 46.207801818847656"
14NE,small_airport,Aaron's Field,1825.0,US-NE,Aurora,14NE,14NE,"-98.06420135498047, 40.86249923706055"
14NH,heliport,Cheshire Medical Center Heliport,481.0,US-NH,Keene,14NH,14NH,"-72.28970336914062, 42.94889831542969"
14NJ,heliport,Wuerkers New Acres Farm Heliport,22.0,US-NJ,Rio Grande,14NJ,14NJ,"-74.8879516125, 39.0092469445"
14NK,small_airport,Mountain View Airport,243.0,US-NY,Kingsbury,14NK,14NK,"-73.47899627685547, 43.34000015258789"
14NY,heliport,Windy's Heliport,222.0,US-NY,Melville,14NY,14NY,"-73.4179000854, 40.7975502014"
14OH,small_airport,Heilman Airport,930.0,US-OH,Kenton,14OH,14OH,"-83.44349670410156, 40.66889953613281"
14OI,small_airport,Pleasant Home Gliding Club Gliderport,1050.0,US-OH,Pleasant Home,14OI,14OI,"-82.11399841308594, 40.9192008972168"
14OK,closed,Reherman Airport,1105.0,US-OK,Kingfisher,,,"-97.933701, 35.804199"
14OR,heliport,Air Columbia Heliport,100.0,US-OR,Hoodriver,14OR,14OR,"-121.51799774169922, 45.71419906616211"
14P,small_airport,Boggs Field,927.0,US-WV,Spencer,14P,14P,"-81.34940338134766, 38.82389831542969"
